"Plot","BA","TPA","biomass","bm_pa","Dom_species","Abundance","Ttl_Trees","richness.x","rel_abd","richness.y","Common.name","bm_tonpa"
"A5",98.952532772601,96,19260.3258267698,77041.3033070792,"Mixed",10,24,8,41.7,8,"Mixed",77.0413033070792
"A6",93.868170495385,144,14631.4961396453,58525.9845585813,"Mixed",16,36,9,44.4,9,"Mixed",58.5259845585812
"B4",51.855259239847,96,8925.72473455916,35702.8989382366,"Mixed",10,24,8,41.7,8,"Mixed",35.7028989382366
"B5",128.26817371988,148,25201.3367719771,100805.347087909,"Mixed",12,37,10,32.4,10,"Mixed",100.805347087909
"B6",129.442998472629,216,17058.8014945,68235.205978,"VIP",36,54,7,66.7,7,"Virginia Pine",68.235205978
"C1",141.087617075779,108,24271.0926740173,97084.3706960691,"Mixed",11,27,8,40.7,8,"Mixed",97.0843706960691
"C4",139.342942322254,152,26186.7398213963,104746.959285585,"CHO",28,38,4,73.7,4,"Chestnut oak",104.746959285585
"C5",134.449975032473,140,25320.7179532612,101282.871813045,"Mixed",13,35,10,37.1,10,"Mixed",101.282871813045
"C6",122.943828670515,112,24450.3454867043,97801.3819468172,"Mixed",10,28,9,35.7,9,"Mixed",97.8013819468172
"C7",64.3629431581079,156,10098.4965216174,40393.9860864696,"Mixed",12,39,12,30.8,12,"Mixed",40.3939860864696
"D1",169.611096708809,152,34899.6928118709,139598.771247484,"Mixed",18,38,10,47.4,10,"Mixed",139.598771247484
"D3",145.632672614128,116,28874.0486700632,115496.194680253,"Mixed",8,29,7,27.6,7,"Mixed",115.496194680253
"D4",138.601177390156,116,27737.0848692607,110948.339477043,"CHO",17,29,6,58.6,6,"Chestnut oak",110.948339477043
"D5",135.340684181274,100,25649.319022409,102597.276089636,"Mixed",8,25,10,32,10,"Mixed",102.597276089636
"D6",101.914356513235,120,19594.5699371851,78378.2797487404,"Mixed",11,30,6,36.7,6,"Mixed",78.3782797487404
"D7",45.9246304415703,108,7009.89049242736,28039.5619697094,"Mixed",8,27,8,29.6,8,"Mixed",28.0395619697094
"E1",85.6917392821046,124,14606.9210733506,58427.6842934024,"SUM",17,31,8,54.8,8,"Sugar maple",58.4276842934024
"E3",171.219417614522,160,34944.065047582,139776.260190328,"Mixed",9,40,10,22.5,10,"Mixed",139.776260190328
"E4",166.757265215642,120,33840.3539969156,135361.415987662,"CHO",23,30,7,76.7,7,"Chestnut oak",135.361415987662
"E5",134.691203533376,132,24135.6831516261,96542.7326065043,"Mixed",16,33,9,48.5,9,"Mixed",96.5427326065043
"E6",166.510737458798,144,32236.2401628367,128944.960651347,"CHO",22,36,6,61.1,6,"Chestnut oak",128.944960651347
"E7",70.2894267994111,184,10898.9700379269,43595.8801517077,"Mixed",18,46,10,39.1,10,"Mixed",43.5958801517077
"F1",76.7438725394427,124,13089.8847311855,52359.538924742,"Mixed",9,31,13,29,13,"Mixed",52.359538924742
